timestamps,open,high,low,close,volume,amount
2023-01-03 09:30:00,268.65,269.23,267.56,268.55,419675.0,112681688.3125
2023-01-03 09:35:00,268.58,269.52,268.14,269.43,167422.0,45022705.684999995
2023-01-03 09:40:00,269.43,270.17,268.97,269.11,248695.0,67003406.900000006
2023-01-03 09:45:00,269.12,269.3,267.21,267.49,337387.0,90514184.36000001
2023-01-03 09:50:00,267.49,267.83,266.45,266.62,236938.0,63285547.45499999
2023-01-03 09:55:00,266.61,266.82,265.6,265.63,166261.0,44252859.065000005
2023-01-03 10:00:00,265.66,266.2,265.39,265.47,172459.0,45818907.120000005
2023-01-03 10:05:00,265.46,265.83,265.27,265.43,86279.0,22906858.8025
2023-01-03 10:10:00,265.4,265.49,264.54,264.74,169685.0,44973736.612500004
2023-01-03 10:15:00,264.76,264.99,264.05,264.07,132916.0,35151962.23
2023-01-03 10:20:00,264.1,264.83,264.03,264.605,78994.0,20885322.4025
2023-01-03 10:25:00,264.58,264.71,264.21,264.56,59657.0,15780171.354999999
2023-01-03 10:30:00,264.52,264.52,263.75,263.92,93335.0,24657006.962500002
2023-01-03 10:35:00,263.94,264.48,263.93,264.33,59322.0,15671092.74
2023-01-03 10:40:00,264.34,264.77,264.23,264.26,71687.0,18954042.799999997
2023-01-03 10:45:00,264.27,264.94,264.25,264.735,65874.0,17426884.3575
2023-01-03 10:50:00,264.73,264.81,264.13,264.17,63031.0,16669178.259999998
2023-01-03 10:55:00,264.18,265.3,264.14,265.23,96310.0,25494460.874999996
2023-01-03 11:00:00,265.23,265.49,264.7,264.72,99063.0,26255162.205000002
2023-01-03 11:05:00,264.72,264.84,263.88,263.91,81809.0,21625186.537499998
2023-01-03 11:10:00,263.92,264.02,263.21,263.38,127032.0,33489763.740000006
2023-01-03 11:15:00,263.38,263.81,263.31,263.69,97674.0,25741738.515
2023-01-03 11:20:00,263.67,264.1,263.35,263.79,81219.0,21419683.8225
2023-01-03 11:25:00,263.81,263.87,263.23,263.78,73339.0,19337477.477500003
2023-01-03 11:30:00,263.79,263.8,262.75,263.11,133905.0,35265555.5625
2023-01-03 11:35:00,263.11,263.46,262.98,263.33,48111.0,12663777.419999998
2023-01-03 11:40:00,263.37,263.44,262.875,262.88,55595.0,14629337.793750001
2023-01-03 11:45:00,262.89,263.0,262.55,262.92,62598.0,16453258.320000002
2023-01-03 11:50:00,262.93,263.03,262.53,262.68,54055.0,14205248.5875
2023-01-03 11:55:00,262.72,262.95,262.44,262.8,60821.0,15979349.277500002
2023-01-03 12:00:00,262.8,262.94,262.66,262.73,53336.0,14015767.420000002
2023-01-03 12:05:00,262.72,263.36,262.63,263.19,75481.0,19849615.975
2023-01-03 12:10:00,263.17,263.32,263.01,263.24,41958.0,11042716.23
2023-01-03 12:15:00,263.24,263.26,262.75,262.84,47122.0,12394146.245
2023-01-03 12:20:00,262.86,263.14,262.32,262.43,61986.0,16282947.375
2023-01-03 12:25:00,262.43,262.94,262.42,262.83,41109.0,10797484.395
2023-01-03 12:30:00,262.84,263.64,262.79,263.45,65967.0,17361195.06
2023-01-03 12:35:00,263.45,263.55,263.14,263.19,49957.0,13155301.702499999
2023-01-03 12:40:00,263.18,263.21,262.86,262.93,37393.0,9836041.685
2023-01-03 12:45:00,262.9,262.94,262.14,262.4,77390.0,20322227.049999997
2023-01-03 12:50:00,262.43,262.54,262.31,262.47,37065.0,9727245.9375
2023-01-03 12:55:00,262.44,262.98,262.28,262.77,46012.0,12083556.41
2023-01-03 13:00:00,262.76,262.91,262.57,262.8,38406.0,10091560.56
2023-01-03 13:05:00,262.81,262.81,262.47,262.56,24126.0,6336995.475000001
2023-01-03 13:10:00,262.57,262.97,262.4,262.52,35285.0,9266370.275
2023-01-03 13:15:00,262.51,262.58,262.37,262.46,22918.0,6015516.639999999
2023-01-03 13:20:00,262.46,262.66,262.32,262.54,23132.0,6072034.34
2023-01-03 13:25:00,262.57,263.6,262.57,263.44,111004.0,29199047.180000003
2023-01-03 13:30:00,263.47,263.56,263.23,263.26,46221.0,12173686.98
2023-01-03 13:35:00,263.27,263.59,263.18,263.21,45796.0,12058659.25
2023-01-03 13:40:00,263.23,263.68,263.21,263.42,29111.0,7667400.735000001
2023-01-03 13:45:00,263.42,263.42,263.06,263.3,48278.0,12711597.4
2023-01-03 13:50:00,263.28,263.94,263.18,263.73,46164.0,12165714.330000002
2023-01-03 13:55:00,263.72,263.91,263.6,263.81,30148.0,7951836.480000001
2023-01-03 14:00:00,263.84,264.16,263.46,263.64,41906.0,11053755.149999999
2023-01-03 14:05:00,263.65,263.88,263.52,263.82,27344.0,7211091.319999999
2023-01-03 14:10:00,263.84,263.87,263.32,263.6,42472.0,11198061.340000002
2023-01-03 14:15:00,263.6,263.89,263.45,263.52,29707.0,7831210.805000001
2023-01-03 14:20:00,263.54,263.67,263.295,263.35,36913.0,9725237.40375
2023-01-03 14:25:00,263.35,263.61,263.28,263.54,36356.0,9577806.42
2023-01-03 14:30:00,263.55,263.65,262.77,262.99,76125.0,20039145.0
2023-01-03 14:35:00,263.01,263.22,262.96,263.095,44849.0,11798482.49125
2023-01-03 14:40:00,263.11,263.92,263.07,263.91,71537.0,18850178.3425
2023-01-03 14:45:00,263.9,264.98,263.845,264.84,148411.0,39238569.80375
2023-01-03 14:50:00,264.88,264.88,264.19,264.37,83174.0,22006176.92
2023-01-03 14:55:00,264.36,264.76,264.05,264.35,94159.0,24893756.419999998
2023-01-03 15:00:00,264.36,264.83,264.12,264.44,118776.0,31408828.5
2023-01-03 15:05:00,264.45,264.56,264.12,264.23,58559.0,15479486.060000002
2023-01-03 15:10:00,264.23,264.78,264.2,264.73,77487.0,20494149.195
2023-01-03 15:15:00,264.74,265.19,264.74,264.78,109244.0,28934638.950000003
2023-01-03 15:20:00,264.79,264.79,264.16,264.22,87298.0,23089448.02
2023-01-03 15:25:00,264.21,264.58,264.18,264.48,66915.0,17689816.6875
2023-01-03 15:30:00,264.5,264.98,264.42,264.82,105216.0,27848570.88
2023-01-03 15:35:00,264.82,264.98,264.45,264.52,77204.0,20435319.77
2023-01-03 15:40:00,264.52,264.73,264.27,264.41,82782.0,21894390.315
2023-01-03 15:45:00,264.41,264.74,264.23,264.53,119998.0,31736771.045
2023-01-03 15:50:00,264.53,264.83,264.27,264.71,156920.0,41518678.199999996
2023-01-03 15:55:00,264.69,264.72,264.31,264.46,326604.0,86401455.18
2023-01-04 09:30:00,266.62,266.81,264.88,265.39,390550.0,103857008.75
2023-01-04 09:35:00,265.41,266.45,265.41,265.92,178299.0,47391428.4525
2023-01-04 09:40:00,265.885,266.92,264.96,265.08,244664.0,65009977.27
2023-01-04 09:45:00,265.09,265.53,264.74,265.42,139563.0,37011409.785
2023-01-04 09:50:00,265.42,266.09,265.3,265.37,107424.0,28525906.079999994
2023-01-04 09:55:00,265.39,265.72,264.94,265.43,111745.0,29653770.650000002
2023-01-04 10:00:00,265.38,266.25,263.57,263.78,500116.0,132403210.42
2023-01-04 10:05:00,263.78,264.17,263.0,263.33,284021.0,74859414.97
2023-01-04 10:10:00,263.32,263.46,262.53,263.38,249513.0,65664959.9925
2023-01-04 10:15:00,263.39,263.96,263.24,263.73,121885.0,32126448.299999997
2023-01-04 10:20:00,263.67,264.07,263.04,263.46,105407.0,27781068.92
2023-01-04 10:25:00,263.47,263.73,262.88,263.73,71050.0,18718300.125
2023-01-04 10:30:00,263.7,263.77,262.86,263.51,81800.0,21551028.000000004
2023-01-04 10:35:00,263.51,264.02,263.38,263.5,67937.0,17908363.042499997
2023-01-04 10:40:00,263.51,264.5,263.27,264.4,81111.0,21406815.119999997
2023-01-04 10:45:00,264.39,265.06,264.38,264.97,121537.0,32170843.900000006
2023-01-04 10:50:00,264.99,265.05,264.67,264.87,54596.0,14462207.42
2023-01-04 10:55:00,264.86,265.01,264.58,265.0,66190.0,17531248.875
2023-01-04 11:00:00,264.99,265.13,264.52,264.53,69447.0,18389044.747500002
2023-01-04 11:05:00,264.52,264.935,264.42,264.8,71259.0,18860030.45625
2023-01-04 11:10:00,264.79,265.34,264.76,265.32,103049.0,27313395.0725
2023-01-04 11:15:00,265.35,265.44,265.13,265.32,47674.0,12648388.94
2023-01-04 11:20:00,265.33,265.435,265.17,265.23,40787.0,10820434.21375
2023-01-04 11:25:00,265.21,265.77,265.15,265.68,83688.0,22215188.82
2023-01-04 11:30:00,265.7,266.83,265.7,266.685,177174.0,47168812.5525
2023-01-04 11:35:00,266.72,267.31,266.72,267.22,111520.0,29775003.6
2023-01-04 11:40:00,267.22,267.44,267.22,267.28,115561.0,30888299.69
2023-01-04 11:45:00,267.27,267.32,267.0,267.165,116278.0,31068173.472499996
2023-01-04 11:50:00,267.18,267.3,266.94,267.17,87650.0,23415478.375000004
2023-01-04 11:55:00,267.17,267.45,266.92,266.93,88209.0,23562167.5575
2023-01-04 12:00:00,266.95,267.09,266.69,266.865,92616.0,24719094.63
2023-01-04 12:05:00,266.875,266.875,266.5,266.73,45408.0,12112356.96
