timestamps,open,high,low,close,volume,amount
2023-01-03 09:30:00,268.65,269.23,267.56,268.55,419675.0,0
2023-01-03 09:35:00,268.58,269.52,268.14,269.43,167422.0,0
2023-01-03 09:40:00,269.43,270.17,268.97,269.11,248695.0,0
2023-01-03 09:45:00,269.12,269.3,267.21,267.49,337387.0,0
2023-01-03 09:50:00,267.49,267.83,266.45,266.62,236938.0,0
2023-01-03 09:55:00,266.61,266.82,265.6,265.63,166261.0,0
2023-01-03 10:00:00,265.66,266.2,265.39,265.47,172459.0,0
2023-01-03 10:05:00,265.46,265.83,265.27,265.43,86279.0,0
2023-01-03 10:10:00,265.4,265.49,264.54,264.74,169685.0,0
2023-01-03 10:15:00,264.76,264.99,264.05,264.07,132916.0,0
2023-01-03 10:20:00,264.1,264.83,264.03,264.605,78994.0,0
2023-01-03 10:25:00,264.58,264.71,264.21,264.56,59657.0,0
2023-01-03 10:30:00,264.52,264.52,263.75,263.92,93335.0,0
2023-01-03 10:35:00,263.94,264.48,263.93,264.33,59322.0,0
2023-01-03 10:40:00,264.34,264.77,264.23,264.26,71687.0,0
2023-01-03 10:45:00,264.27,264.94,264.25,264.735,65874.0,0
2023-01-03 10:50:00,264.73,264.81,264.13,264.17,63031.0,0
2023-01-03 10:55:00,264.18,265.3,264.14,265.23,96310.0,0
2023-01-03 11:00:00,265.23,265.49,264.7,264.72,99063.0,0
2023-01-03 11:05:00,264.72,264.84,263.88,263.91,81809.0,0
2023-01-03 11:10:00,263.92,264.02,263.21,263.38,127032.0,0
2023-01-03 11:15:00,263.38,263.81,263.31,263.69,97674.0,0
2023-01-03 11:20:00,263.67,264.1,263.35,263.79,81219.0,0
2023-01-03 11:25:00,263.81,263.87,263.23,263.78,73339.0,0
2023-01-03 11:30:00,263.79,263.8,262.75,263.11,133905.0,0
2023-01-03 11:35:00,263.11,263.46,262.98,263.33,48111.0,0
2023-01-03 11:40:00,263.37,263.44,262.875,262.88,55595.0,0
2023-01-03 11:45:00,262.89,263.0,262.55,262.92,62598.0,0
2023-01-03 11:50:00,262.93,263.03,262.53,262.68,54055.0,0
2023-01-03 11:55:00,262.72,262.95,262.44,262.8,60821.0,0
2023-01-03 12:00:00,262.8,262.94,262.66,262.73,53336.0,0
2023-01-03 12:05:00,262.72,263.36,262.63,263.19,75481.0,0
2023-01-03 12:10:00,263.17,263.32,263.01,263.24,41958.0,0
2023-01-03 12:15:00,263.24,263.26,262.75,262.84,47122.0,0
2023-01-03 12:20:00,262.86,263.14,262.32,262.43,61986.0,0
2023-01-03 12:25:00,262.43,262.94,262.42,262.83,41109.0,0
2023-01-03 12:30:00,262.84,263.64,262.79,263.45,65967.0,0
